filename,score
4367_3648_000003,5.0
4367_3648_000004,4.0
4367_3648_000005,5.0
4367_3648_000006,5.0
4367_3648_000007,5.0
4367_3648_000010,5.0
4367_3648_000011,4.0
4367_3648_000012,5.0
4367_3648_000014,5.0
4367_3648_000017,4.0
4367_3648_000018,4.0
4367_3648_000019,4.5
4778_3962_000000,5.0
4778_3962_000001,4.0
4778_3962_000002,5.0
4778_3962_000004,5.0
4783_3962_000000,5.0
4783_3962_000001,4.5
4783_3962_000002,2.0
4783_3962_000003,3.0
4783_3962_000004,3.0
4783_3962_000005,5.0
4783_3962_000006,4.0
4783_3962_000007,4.333333333333333
4783_3962_000008,2.6666666666666665
4801_3962_000000,4.75
4801_3962_000001,5.0
5068_3962_000000,4.0
5068_3962_000003,3.4
5103_3962_000000,5.0
5103_3962_000001,4.0
5103_3962_000002,4.5
5103_3962_000003,5.0
5103_3962_000004,3.0
5103_4572_000000,4.5
5103_4572_000001,5.0
5103_4572_000002,4.0
5103_4744_000000,5.0
5103_4744_000001,3.0
5103_4744_000002,4.0
5103_4744_000003,5.0
5103_4744_000004,4.0
5677_4744_000001,3.3333333333333335
5677_4744_000003,3.3333333333333335
5677_4744_000004,4.333333333333333
5677_4744_000006,3.0
5677_4744_000007,3.0
5677_4744_000009,5.0
5677_4744_000011,3.8
5677_4744_000012,3.0
5677_4744_000013,4.0
5677_4744_000014,3.0
5677_4744_000016,3.0
5677_4744_000017,4.0
5677_4744_000018,5.0
5705_4744_000001,4.25
5705_4744_000005,4.5
5705_4744_000006,4.333333333333333
5705_4744_000007,5.0
5705_4744_000008,4.0
5705_4744_000009,5.0
5705_4744_000010,5.0
5705_4744_000011,4.0
5705_4744_000012,4.0
5705_4744_000013,4.5
5705_4744_000014,4.0
5705_4744_000015,4.0
5888_4811_000000,3.5
5888_4811_000003,3.5
5888_4811_000004,4.0
5888_4811_000005,2.5
5888_4811_000007,3.0
5888_4811_000008,3.0
5888_4811_000009,3.5
5888_4811_000010,3.5
5888_4811_000012,4.0
5888_4811_000013,3.0
5888_4811_000014,3.5
5888_4811_000016,3.0
5888_5270_000000,4.5
5888_5270_000001,5.0
6207_5270_000000,2.6666666666666665
6207_5270_000001,4.666666666666667
6207_5270_000004,3.0
6207_5270_000006,4.0
6207_5270_000007,5.0
6207_5270_000008,5.0
6207_5270_000009,5.0
6207_5270_000010,5.0
6207_5270_000014,4.5
6207_5270_000015,4.333333333333333
6207_5270_000016,3.0
6207_5270_000018,4.0
6207_5270_000019,4.333333333333333
6581_5323_000001,5.0
6581_5323_000002,3.6
6601_5323_000000,4.5
6601_5323_000002,4.0
6601_5323_000003,5.0
6601_5323_000004,3.0
6601_5323_000005,4.0
6601_5323_000006,5.0
6601_5323_000007,5.0
6601_5323_000009,2.0
6601_5323_000010,5.0
6601_5323_000014,4.0
6700_5323_000000,5.0
6700_5323_000002,5.0
6700_5323_000003,5.0
6700_5323_000004,5.0
6700_5323_000005,4.5
6700_5323_000007,5.0
6700_5323_000008,4.4
7028_5323_000000,5.0
7028_5323_000002,5.0
7028_5323_000003,4.75
7028_5323_000006,3.0
7028_5323_000008,3.5
7028_5323_000009,5.0
7028_5323_000012,5.0
7028_5323_000013,4.5
7028_5323_000014,5.0
7028_5323_000016,5.0
7028_5323_000017,3.0
7028_5323_000018,4.5
7028_5323_000019,4.0
8680_6390_000000,4.0
8680_6390_000002,4.0
8680_6390_000003,4.0
8680_6390_000004,3.3333333333333335
8680_6390_000005,3.0
8680_6390_000008,2.0
8680_6390_000010,3.75
8680_6390_000012,4.0
8680_6390_000013,4.0
8680_6390_000014,1.0
8680_6390_000015,2.0
8680_6390_000016,3.5
8680_6390_000017,4.0
8680_6390_000018,3.0
8680_6390_000019,4.333333333333333
9217_6390_000000,4.0
9217_6390_000001,5.0
9217_6390_000003,5.0
9217_6390_000004,2.0
9217_6390_000005,4.5
9217_6390_000007,4.0
9217_6390_000008,4.0
9217_6390_000009,4.0
9217_6390_000010,4.666666666666667
9217_6390_000011,4.666666666666667
9217_6390_000013,4.0
9217_6390_000014,3.5
9217_6390_000015,4.0
9217_6390_000016,4.0
9217_6390_000017,4.0
9217_6390_000018,4.5
9217_6390_000019,3.0
9351_6390_000002,5.0
9351_6390_000003,3.5
9351_6390_000004,5.0
9351_6390_000005,4.666666666666667
9351_6390_000007,5.0
9351_6390_000008,4.5
9351_6390_000009,4.0
9351_6390_000010,4.0
9351_6390_000011,4.0
9351_6390_000012,3.25
9351_6390_000013,4.0
9351_6390_000014,5.0
9351_6390_000015,5.0
9351_6390_000016,1.0
9351_6390_000018,4.5
9485_6390_000000,4.0
9485_6390_000003,4.0
9485_6390_000004,5.0
9485_6390_000006,4.0
9485_6390_000008,5.0
9485_6390_000010,3.0
9485_6390_000011,5.0
9485_6390_000012,2.6666666666666665
9485_6390_000014,5.0
9485_6390_000015,4.0
9485_6390_000016,3.0
9485_6390_000017,5.0
9485_6390_000018,3.75
9485_6390_000019,5.0
GS1-0003,4.0
GS1-0004,5.0
GS1-0006,5.0
GS1-0007,5.0
GS1-0011,5.0
GS1-0012,5.0
GS1-0013,4.333333333333333
GS1-0014,5.0
GS1-0016,5.0
GS1-0018,5.0
GS1-0019,3.6666666666666665
GS1-0020,5.0
dataset_oficial_copel-0592,4.75
dataset_oficial_copel-0593,4.333333333333333
dataset_oficial_copel-0595,5.0
dataset_oficial_copel-0597,5.0
dataset_oficial_copel-0599,5.0
dataset_oficial_copel-0602,1.0
dataset_oficial_copel-0604,5.0
dataset_oficial_copel-0606,4.333333333333333
dataset_oficial_copel-0607,4.0
dataset_oficial_copel-0610,4.5
dataset_oficial_copel-0611,5.0
ground_truth_bz_bolsonaro_onu-0001,3.5
ground_truth_bz_bolsonaro_onu-0002,5.0
ground_truth_bz_bolsonaro_onu-0003,5.0
ground_truth_bz_bolsonaro_onu-0005,3.3333333333333335
ground_truth_bz_bolsonaro_onu-0006,4.5
ground_truth_bz_bolsonaro_onu-0007,5.0
ground_truth_bz_bolsonaro_onu-0008,4.0
ground_truth_bz_bolsonaro_onu-0010,4.0
ground_truth_bz_bolsonaro_onu-0011,4.5
ground_truth_bz_bolsonaro_onu-0013,4.0
ground_truth_bz_bolsonaro_onu-0014,4.0
ground_truth_bz_bolsonaro_onu-0015,4.2
ground_truth_bz_bolsonaro_onu-0016,3.0
ground_truth_bz_bolsonaro_onu-0017,5.0
ground_truth_bz_bolsonaro_onu-0018,2.5
ground_truth_bz_bolsonaro_onu-0019,3.0
ground_truth_dr_onu-2012-0001,3.5
ground_truth_dr_onu-2012-0003,4.333333333333333
ground_truth_dr_onu-2012-0004,4.5
ground_truth_dr_onu-2012-0005,4.0
ground_truth_dr_onu-2012-0006,4.25
ground_truth_dr_onu-2012-0007,5.0
ground_truth_dr_onu-2012-0009,5.0
ground_truth_dr_onu-2012-0011,3.0
ground_truth_dr_onu-2012-0012,3.6666666666666665
ground_truth_dr_onu-2012-0013,4.0
ground_truth_dr_onu-2012-0015,4.0
ground_truth_dr_onu-2012-0016,5.0
ground_truth_dr_onu-2012-0018,5.0
ground_truth_dr_onu-2012-0019,5.0
ground_truth_gm_crime_pe_amaro-1057,4.0
ground_truth_gm_crime_pe_amaro-1058,5.0
ground_truth_gm_crime_pe_amaro-1061,5.0
ground_truth_gm_crime_pe_amaro-1062,5.0
ground_truth_gm_crime_pe_amaro-1064,5.0
ground_truth_gm_crime_pe_amaro-1065,4.5
ground_truth_gm_crime_pe_amaro-1067,5.0
ground_truth_gm_crime_pe_amaro-1069,5.0
ground_truth_gm_crime_pe_amaro-1071,5.0
ground_truth_gm_crime_pe_amaro-1072,5.0
ground_truth_gm_crime_pe_amaro-1073,5.0
ground_truth_gm_crime_pe_amaro-1074,3.75
ground_truth_gm_crime_pe_amaro-1075,3.0
ground_truth_gm_crime_pe_amaro-1076,5.0
ground_truth_lu_onu_2009-0001,4.0
ground_truth_lu_onu_2009-0002,4.0
ground_truth_lu_onu_2009-0004,2.0
ground_truth_lu_onu_2009-0005,1.0
ground_truth_lu_onu_2009-0006,5.0
ground_truth_lu_onu_2009-0010,5.0
ground_truth_lu_onu_2009-0011,3.75
ground_truth_lu_onu_2009-0012,5.0
ground_truth_lu_onu_2009-0016,5.0
ground_truth_lu_onu_2009-0019,3.5
ground_truth_lu_onu_2009-0020,4.5
ground_truth_pe_isaura_f-0058,5.0
ground_truth_pe_isaura_f-0059,5.0
ground_truth_pe_isaura_f-0060,5.0
ground_truth_pe_isaura_f-0062,5.0
ground_truth_pe_isaura_f-0063,5.0
ground_truth_pe_isaura_f-0064,4.333333333333333
ground_truth_pe_isaura_f-0065,5.0
ground_truth_pe_isaura_f-0066,4.5
ground_truth_pe_isaura_f-0067,5.0
ground_truth_pe_isaura_f-0068,5.0
ground_truth_pe_isaura_f-0070,5.0
ground_truth_pe_isaura_f-0072,5.0
ground_truth_pe_isaura_f-0073,5.0
ground_truth_pe_isaura_f-0076,4.333333333333333
ground_truth_pe_isaura_f-0077,5.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0001,2.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0002,2.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0004,2.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0005,1.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0007,2.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0011,1.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0016,1.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0018,1.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0019,1.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0020,1.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0022,1.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0023,1.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0024,1.0
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0025,1.6666666666666667
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0026,2.0
noise-_input_output_DI_DI_taco2hifigan-DI-0002,1.5
noise-_input_output_DI_DI_taco2hifigan-DI-0003,1.0
noise-_input_output_DI_DI_taco2hifigan-DI-0008,1.0
noise-_input_output_DI_DI_taco2hifigan-DI-0014,1.0
noise-_input_output_DI_DI_taco2hifigan-DI-0021,2.5
noise-_input_output_DI_DI_taco2hifigan-DI-0022,2.0
noise-_input_output_DI_DI_taco2hifigan-DI-0024,2.0
noise-_input_output_DI_DI_taco2hifigan-DI-0025,1.0
noise-_input_output_DI_DI_taco2hifigan-DI-0026,1.0
noise-_input_output_DI_DI_taco2hifigan-DI-0027,1.0
noise-_input_output_DI_DI_taco2hifigan-DI-0028,1.5
noise-_input_output_DR_DR_taco2hifigan-DR-0003,1.0
noise-_input_output_DR_DR_taco2hifigan-DR-0005,1.5
noise-_input_output_DR_DR_taco2hifigan-DR-0008,3.0
noise-_input_output_DR_DR_taco2hifigan-DR-0009,4.0
noise-_input_output_DR_DR_taco2hifigan-DR-0011,1.0
noise-_input_output_DR_DR_taco2hifigan-DR-0012,2.0
noise-_input_output_DR_DR_taco2hifigan-DR-0013,1.0
noise-_input_output_DR_DR_taco2hifigan-DR-0015,1.0
noise-_input_output_DR_DR_taco2hifigan-DR-0016,2.0
noise-_input_output_DR_DR_taco2hifigan-DR-0018,2.0
noise-_input_output_DR_DR_taco2hifigan-DR-0019,1.0
noise-_input_output_DR_DR_taco2hifigan-DR-0020,2.0
noise-_input_output_DR_DR_taco2hifigan-DR-0021,1.0
noise-_input_output_DR_DR_taco2hifigan-DR-0022,1.0
noise-_input_output_DR_DR_taco2hifigan-DR-0024,1.0
noise-_input_output_DR_DR_taco2hifigan-DR-0025,1.0
noise-_input_output_DR_DR_taco2hifigan-DR-0027,2.0
noise-_input_output_DR_DR_taco2hifigan-DR-0028,2.0
noise-_input_output_DR_DR_taco2hifigan-DR-0029,1.25
noise-_input_output_FN_FN_taco2hifigan-FN-0003,1.0
noise-_input_output_FN_FN_taco2hifigan-FN-0006,2.0
noise-_input_output_FN_FN_taco2hifigan-FN-0007,2.3333333333333335
noise-_input_output_FN_FN_taco2hifigan-FN-0008,2.0
noise-_input_output_FN_FN_taco2hifigan-FN-0009,1.0
noise-_input_output_FN_FN_taco2hifigan-FN-0010,1.0
noise-_input_output_FN_FN_taco2hifigan-FN-0012,1.0
noise-_input_output_FN_FN_taco2hifigan-FN-0014,1.0
noise-_input_output_FN_FN_taco2hifigan-FN-0016,1.0
noise-_input_output_FN_FN_taco2hifigan-FN-0017,2.0
noise-_input_output_FN_FN_taco2hifigan-FN-0019,2.0
noise-_input_output_FN_FN_taco2hifigan-FN-0020,2.0
noise-_input_output_FN_FN_taco2hifigan-FN-0022,1.0
noise-_input_output_FN_FN_taco2hifigan-FN-0023,2.0
noise-_input_output_FN_FN_taco2hifigan-FN-0024,2.0
noise-_input_output_FN_FN_taco2hifigan-FN-0025,1.0
noise-_input_output_FN_FN_taco2hifigan-FN-0026,3.0
noise-_input_output_FN_FN_taco2hifigan-FN-0027,1.0
noise-_input_output_FN_FN_taco2hifigan-FN-0028,2.0
noise-_input_output_GM_GM_taco2hifigan-GM-0006,1.0
noise-_input_output_GM_GM_taco2hifigan-GM-0010,3.0
noise-_input_output_GM_GM_taco2hifigan-GM-0011,1.6666666666666667
noise-_input_output_GM_GM_taco2hifigan-GM-0013,2.0
noise-_input_output_GM_GM_taco2hifigan-GM-0015,2.0
noise-_input_output_GM_GM_taco2hifigan-GM-0016,2.0
noise-_input_output_GM_GM_taco2hifigan-GM-0017,1.0
noise-_input_output_GM_GM_taco2hifigan-GM-0018,1.0
noise-_input_output_GM_GM_taco2hifigan-GM-0022,1.3333333333333333
noise-_input_output_GM_GM_taco2hifigan-GM-0023,1.0
noise-_input_output_GM_GM_taco2hifigan-GM-0028,2.0
noise-_input_output_GS_GS_taco2hifigan-GS-0001,2.5
noise-_input_output_GS_GS_taco2hifigan-GS-0005,2.0
noise-_input_output_GS_GS_taco2hifigan-GS-0007,1.0
noise-_input_output_GS_GS_taco2hifigan-GS-0008,1.0
noise-_input_output_GS_GS_taco2hifigan-GS-0009,3.0
noise-_input_output_GS_GS_taco2hifigan-GS-0010,2.0
noise-_input_output_GS_GS_taco2hifigan-GS-0012,2.5
noise-_input_output_GS_GS_taco2hifigan-GS-0013,1.0
noise-_input_output_GS_GS_taco2hifigan-GS-0015,1.0
noise-_input_output_GS_GS_taco2hifigan-GS-0016,2.5
noise-_input_output_GS_GS_taco2hifigan-GS-0017,2.5
noise-_input_output_GS_GS_taco2hifigan-GS-0020,2.0
noise-_input_output_GS_GS_taco2hifigan-GS-0022,1.0
noise-_input_output_GS_GS_taco2hifigan-GS-0024,3.0
noise-_input_output_GS_GS_taco2hifigan-GS-0025,3.0
noise-_input_output_GS_GS_taco2hifigan-GS-0026,1.0
noise-_input_output_GS_GS_taco2hifigan-GS-0027,1.0
noise-_input_output_GS_GS_taco2hifigan-GS-0029,2.0
noise-_input_output_IR_IR_taco2hifigan-IR-0002,1.0
noise-_input_output_IR_IR_taco2hifigan-IR-0003,1.0
noise-_input_output_IR_IR_taco2hifigan-IR-0005,1.0
noise-_input_output_IR_IR_taco2hifigan-IR-0007,3.0
noise-_input_output_IR_IR_taco2hifigan-IR-0008,2.3333333333333335
noise-_input_output_IR_IR_taco2hifigan-IR-0009,2.0
noise-_input_output_IR_IR_taco2hifigan-IR-0010,2.0
noise-_input_output_IR_IR_taco2hifigan-IR-0011,1.0
noise-_input_output_IR_IR_taco2hifigan-IR-0013,1.3333333333333333
noise-_input_output_IR_IR_taco2hifigan-IR-0019,2.0
noise-_input_output_IR_IR_taco2hifigan-IR-0021,3.5
noise-_input_output_IR_IR_taco2hifigan-IR-0022,1.3333333333333333
noise-_input_output_IR_IR_taco2hifigan-IR-0024,1.0
noise-_input_output_IR_IR_taco2hifigan-IR-0028,2.0
noise-_input_output_IR_IR_taco2hifigan-IR-0029,4.0
noise-_input_output_LI_LI_taco2hifigan-LI-0001,2.0
noise-_input_output_LI_LI_taco2hifigan-LI-0002,2.0
noise-_input_output_LI_LI_taco2hifigan-LI-0003,1.0
noise-_input_output_LI_LI_taco2hifigan-LI-0004,2.5
noise-_input_output_LI_LI_taco2hifigan-LI-0005,2.0
noise-_input_output_LI_LI_taco2hifigan-LI-0009,1.0
noise-_input_output_LI_LI_taco2hifigan-LI-0010,3.0
noise-_input_output_LI_LI_taco2hifigan-LI-0011,1.0
noise-_input_output_LI_LI_taco2hifigan-LI-0014,3.0
noise-_input_output_LI_LI_taco2hifigan-LI-0015,2.25
noise-_input_output_LI_LI_taco2hifigan-LI-0016,1.0
noise-_input_output_LI_LI_taco2hifigan-LI-0017,2.0
noise-_input_output_LI_LI_taco2hifigan-LI-0019,1.0
noise-_input_output_LI_LI_taco2hifigan-LI-0021,1.0
noise-_input_output_LI_LI_taco2hifigan-LI-0022,1.5
noise-_input_output_LI_LI_taco2hifigan-LI-0024,2.0
noise-_input_output_LI_LI_taco2hifigan-LI-0027,3.6666666666666665
noise-_input_output_LI_LI_taco2hifigan-LI-0028,1.0
noise-_input_output_LN_LN_taco2hifigan-LN-0003,2.0
noise-_input_output_LN_LN_taco2hifigan-LN-0005,1.0
noise-_input_output_LN_LN_taco2hifigan-LN-0006,2.0
noise-_input_output_LN_LN_taco2hifigan-LN-0007,2.0
noise-_input_output_LN_LN_taco2hifigan-LN-0008,1.6666666666666667
noise-_input_output_LN_LN_taco2hifigan-LN-0009,2.0
noise-_input_output_LN_LN_taco2hifigan-LN-0011,1.0
noise-_input_output_LN_LN_taco2hifigan-LN-0015,1.0
noise-_input_output_LN_LN_taco2hifigan-LN-0018,1.0
noise-_input_output_LN_LN_taco2hifigan-LN-0019,1.0
noise-_input_output_LN_LN_taco2hifigan-LN-0020,1.0
noise-_input_output_LN_LN_taco2hifigan-LN-0021,1.0
noise-_input_output_LN_LN_taco2hifigan-LN-0024,1.0
noise-_input_output_LN_LN_taco2hifigan-LN-0027,1.0
noise-_input_output_LN_LN_taco2hifigan-LN-0029,1.0
noise-_input_output_LU_LU_taco2hifigan-LU-0002,1.0
noise-_input_output_LU_LU_taco2hifigan-LU-0003,1.0
noise-_input_output_LU_LU_taco2hifigan-LU-0004,2.0
noise-_input_output_LU_LU_taco2hifigan-LU-0005,3.0
noise-_input_output_LU_LU_taco2hifigan-LU-0006,2.0
noise-_input_output_LU_LU_taco2hifigan-LU-0007,2.0
noise-_input_output_LU_LU_taco2hifigan-LU-0009,1.5
noise-_input_output_LU_LU_taco2hifigan-LU-0012,2.0
noise-_input_output_LU_LU_taco2hifigan-LU-0013,2.0
noise-_input_output_LU_LU_taco2hifigan-LU-0014,2.0
noise-_input_output_LU_LU_taco2hifigan-LU-0015,2.0
noise-_input_output_LU_LU_taco2hifigan-LU-0018,1.0
noise-_input_output_LU_LU_taco2hifigan-LU-0019,1.0
noise-_input_output_LU_LU_taco2hifigan-LU-0024,1.0
noise-_input_output_LU_LU_taco2hifigan-LU-0025,1.0
noise-_input_output_LU_LU_taco2hifigan-LU-0027,1.0
noise-_input_output_LU_LU_taco2hifigan-LU-0028,3.6666666666666665
noise-_input_output_LU_LU_taco2hifigan-LU-0029,1.0
noise-_input_output_MA_MA_taco2hifigan-MA-0004,2.0
noise-_input_output_MA_MA_taco2hifigan-MA-0005,1.0
noise-_input_output_MA_MA_taco2hifigan-MA-0006,1.5
noise-_input_output_MA_MA_taco2hifigan-MA-0008,1.0
noise-_input_output_MA_MA_taco2hifigan-MA-0009,2.0
noise-_input_output_MA_MA_taco2hifigan-MA-0010,1.0
noise-_input_output_MA_MA_taco2hifigan-MA-0011,1.5
noise-_input_output_MA_MA_taco2hifigan-MA-0013,2.0
noise-_input_output_MA_MA_taco2hifigan-MA-0014,1.0
noise-_input_output_MA_MA_taco2hifigan-MA-0016,3.0
noise-_input_output_MA_MA_taco2hifigan-MA-0018,1.0
noise-_input_output_MA_MA_taco2hifigan-MA-0020,1.0
noise-_input_output_MA_MA_taco2hifigan-MA-0021,1.0
noise-_input_output_MA_MA_taco2hifigan-MA-0024,1.0
noise-_input_output_MA_MA_taco2hifigan-MA-0026,1.0
noise-_input_output_MA_MA_taco2hifigan-MA-0029,2.0
noise-_input_output_PE_PE_taco2hifigan-PE-0001,2.0
noise-_input_output_PE_PE_taco2hifigan-PE-0003,1.0
noise-_input_output_PE_PE_taco2hifigan-PE-0005,2.3333333333333335
noise-_input_output_PE_PE_taco2hifigan-PE-0006,4.0
noise-_input_output_PE_PE_taco2hifigan-PE-0007,2.0
noise-_input_output_PE_PE_taco2hifigan-PE-0008,1.0
noise-_input_output_PE_PE_taco2hifigan-PE-0011,1.0
noise-_input_output_PE_PE_taco2hifigan-PE-0012,2.0
noise-_input_output_PE_PE_taco2hifigan-PE-0013,1.5
noise-_input_output_PE_PE_taco2hifigan-PE-0016,4.0
noise-_input_output_PE_PE_taco2hifigan-PE-0019,2.0
noise-_input_output_PE_PE_taco2hifigan-PE-0020,2.0
noise-_input_output_PE_PE_taco2hifigan-PE-0021,5.0
noise-_input_output_PE_PE_taco2hifigan-PE-0023,2.0
noise-_input_output_PE_PE_taco2hifigan-PE-0024,2.0
noise-_input_output_PE_PE_taco2hifigan-PE-0026,2.5
noise-_input_output_PE_PE_taco2hifigan-PE-0027,3.0
noise-_input_output_PE_PE_taco2hifigan-PE-0029,4.0
noise-_input_output_RC_RC_taco2hifigan-RC-0001,2.0
noise-_input_output_RC_RC_taco2hifigan-RC-0002,3.0
noise-_input_output_RC_RC_taco2hifigan-RC-0003,1.0
noise-_input_output_RC_RC_taco2hifigan-RC-0005,1.0
noise-_input_output_RC_RC_taco2hifigan-RC-0006,1.0
noise-_input_output_RC_RC_taco2hifigan-RC-0007,2.0
noise-_input_output_RC_RC_taco2hifigan-RC-0008,2.0
noise-_input_output_RC_RC_taco2hifigan-RC-0009,2.0
noise-_input_output_RC_RC_taco2hifigan-RC-0010,2.0
noise-_input_output_RC_RC_taco2hifigan-RC-0012,1.0
noise-_input_output_RC_RC_taco2hifigan-RC-0014,1.0
noise-_input_output_RC_RC_taco2hifigan-RC-0015,2.0
noise-_input_output_RC_RC_taco2hifigan-RC-0016,3.0
noise-_input_output_RC_RC_taco2hifigan-RC-0017,2.0
noise-_input_output_RC_RC_taco2hifigan-RC-0018,1.5
noise-_input_output_RC_RC_taco2hifigan-RC-0021,2.0
noise-_input_output_RC_RC_taco2hifigan-RC-0023,2.0
noise-_input_output_RC_RC_taco2hifigan-RC-0024,2.3333333333333335
noise-_input_output_RC_RC_taco2hifigan-RC-0025,1.5
noise-_input_output_RC_RC_taco2hifigan-RC-0026,5.0
noise-_input_output_RC_RC_taco2hifigan-RC-0028,2.0
noise-_input_output_RC_RC_taco2hifigan-RC-0029,2.0
taco2griffin_lim-BZ-0000,2.0
taco2griffin_lim-BZ-0003,2.0
taco2griffin_lim-BZ-0004,1.0
taco2griffin_lim-BZ-0006,2.0
taco2griffin_lim-BZ-0008,3.0
taco2griffin_lim-BZ-0009,2.6666666666666665
taco2griffin_lim-BZ-0011,2.0
taco2griffin_lim-BZ-0013,2.0
taco2griffin_lim-BZ-0014,2.6666666666666665
taco2griffin_lim-BZ-0015,2.0
taco2griffin_lim-BZ-0016,3.0
taco2griffin_lim-BZ-0017,2.0
taco2griffin_lim-BZ-0019,2.0
taco2griffin_lim-BZ-0020,2.3333333333333335
taco2griffin_lim-BZ-0021,2.5
taco2griffin_lim-BZ-0022,4.0
taco2griffin_lim-BZ-0024,2.5
taco2griffin_lim-BZ-0025,3.0
taco2griffin_lim-BZ-0027,3.0
taco2griffin_lim-BZ-0028,1.0
taco2griffin_lim-BZ-0029,2.0
taco2griffin_lim-DI-0000,2.25
taco2griffin_lim-DI-0002,3.0
taco2griffin_lim-DI-0003,3.0
taco2griffin_lim-DI-0004,3.0
taco2griffin_lim-DI-0006,3.0
taco2griffin_lim-DI-0009,3.0
taco2griffin_lim-DI-0011,3.0
taco2griffin_lim-DI-0012,2.0
taco2griffin_lim-DI-0013,2.0
taco2griffin_lim-DI-0015,1.75
taco2griffin_lim-DI-0016,4.0
taco2griffin_lim-DI-0017,2.5
taco2griffin_lim-DI-0020,2.5
taco2griffin_lim-DI-0021,3.0
taco2griffin_lim-DI-0023,2.0
taco2griffin_lim-DI-0024,3.0
taco2griffin_lim-DI-0026,1.5
taco2griffin_lim-DI-0027,1.0
taco2griffin_lim-DR-0000,1.0
taco2griffin_lim-DR-0001,2.0
taco2griffin_lim-DR-0002,3.0
taco2griffin_lim-DR-0003,1.0
taco2griffin_lim-DR-0008,2.0
taco2griffin_lim-DR-0009,1.0
taco2griffin_lim-DR-0010,2.0
taco2griffin_lim-DR-0011,2.3333333333333335
taco2griffin_lim-DR-0012,3.5
taco2griffin_lim-DR-0014,3.0
taco2griffin_lim-DR-0015,4.0
taco2griffin_lim-DR-0018,1.5
taco2griffin_lim-DR-0019,2.0
taco2griffin_lim-DR-0020,2.5
taco2griffin_lim-DR-0021,3.0
taco2griffin_lim-DR-0022,2.0
