filepath,mos,condition,db
./data/taco2waveglow/taco2waveglow-DR-0026.wav,4.333333333333333,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0005.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0006.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0004.wav,1.0,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_3.wav,3.75,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0015.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0006.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0022.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0025.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0025.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0024.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0013.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0024.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0022.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0014.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0000.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_19.wav,3.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0016.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0026.wav,2.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0005.wav,1.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0021.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0001.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0010.wav,3.5,synthesized,taco2waveglow
./data/ground_truth/ground_truth_msc_d_tunner_taco2waveglow_isaura_0407.wav,4.9,profissional,ground_truth
./data/taco2waveglow/taco2waveglow-LI-0003.wav,4.25,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0014.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0023.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0024.wav,4.666666666666667,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0024.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0010.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0029.wav,4.0,synthesized,taco2waveglow
./data/ground_truth/ground_truth_msc_d_tunner_taco2waveglow_crime_pe_amaro-0572.wav,4.85,profissional,ground_truth
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_1.wav,3.75,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0009.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0022.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0002.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0014.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0002.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0029.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0011.wav,4.0,synthesized,taco2waveglow
./data/ground_truth/ground_truth_msc_d_tunner_taco2waveglow_crime_pe_amaro-1523.wav,5.0,profissional,ground_truth
./data/taco2waveglow/taco2waveglow-LU-0017.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0001.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0012.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0013.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_13.wav,3.4,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0009.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0011.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0003.wav,3.6666666666666665,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0003.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0008.wav,3.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0019.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0015.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_5.wav,3.75,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0013.wav,5.0,synthesized,taco2waveglow
./data/ground_truth/ground_truth_msc_d_tunner_taco2waveglow_crime_pe_amaro-0434.wav,4.65,profissional,ground_truth
./data/taco2waveglow/taco2waveglow-PE-0004.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0007.wav,2.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0018.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0008.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0028.wav,4.5,synthesized,taco2waveglow
./data/ground_truth/ground_truth_msc_d_tunner_taco2waveglow_isaura_0782.wav,4.95,profissional,ground_truth
./data/taco2waveglow/taco2waveglow-DR-0011.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0025.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0012.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0018.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0007.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0015.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0018.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0011.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0011.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0027.wav,4.75,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0003.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0027.wav,4.666666666666667,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0020.wav,3.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0021.wav,3.75,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0029.wav,3.25,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0009.wav,3.333333333333333,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0000.wav,2.333333333333333,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_14.wav,3.7,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0029.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0025.wav,4.333333333333333,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0006.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0021.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0026.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0028.wav,3.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0029.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_9.wav,4.05,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0022.wav,3.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0023.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0027.wav,2.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0005.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0007.wav,3.8,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0018.wav,1.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0019.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0003.wav,3.75,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0001.wav,3.6666666666666665,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0003.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0002.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0024.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0002.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0015.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0002.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0008.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_0.wav,3.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0000.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0013.wav,3.0,synthesized,taco2waveglow
./data/ground_truth/ground_truth_msc_d_tunner_taco2waveglow_crime_pe_amaro-2088.wav,4.8,profissional,ground_truth
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_8.wav,3.75,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0025.wav,4.333333333333333,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0024.wav,2.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0016.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0009.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0006.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0014.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0015.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0022.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0000.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0025.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_16.wav,3.2,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0007.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LU-0012.wav,2.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-PE-0010.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0020.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0019.wav,3.333333333333333,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0007.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0028.wav,3.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0019.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0017.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_7.wav,4.05,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-LI-0008.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0018.wav,1.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0007.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0028.wav,2.333333333333333,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0026.wav,5.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0001.wav,2.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0013.wav,4.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0026.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0021.wav,4.5,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_2.wav,3.55,synthesized,taco2waveglow
./data/ground_truth/ground_truth_msc_d_tunner_taco2waveglow_crime_pe_amaro-0457.wav,4.85,profissional,ground_truth
./data/ground_truth/ground_truth_msc_d_tunner_taco2waveglow_crime_pe_amaro-0927.wav,4.9,profissional,ground_truth
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_4.wav,3.95,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GM-0023.wav,4.666666666666667,synthesized,taco2waveglow
./data/taco2waveglow/msc_d_tunner_taco2waveglow_1_10.wav,4.15,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-DR-0004.wav,3.333333333333333,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-BZ-0027.wav,3.0,synthesized,taco2waveglow
./data/taco2waveglow/taco2waveglow-GS-0021.wav,4.666666666666667,synthesized,taco2waveglow
