File,Quality,Inteligibility
noise-_input_output_MA_MA_taco2hifigan-MA-0029.wav,2.29,0.68
noise-_input_output_DR_DR_taco2hifigan-DR-0028.wav,3.93,0.98
noise-_input_output_GS_GS_taco2hifigan-GS-0009.wav,4.25,0.99
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0012.wav,2.79,0.80
noise-_input_output_DR_DR_taco2hifigan-DR-0008.wav,3.75,0.98
noise-_input_output_MA_MA_taco2hifigan-MA-0021.wav,2.61,0.80
noise-_input_output_LU_LU_taco2hifigan-LU-0016.wav,3.45,0.97
noise-_input_output_LI_LI_taco2hifigan-LI-0014.wav,3.81,0.98
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0013.wav,2.78,0.81
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0025.wav,3.10,0.88
noise-_input_output_DI_DI_taco2hifigan-DI-0015.wav,2.80,0.79
noise-_input_output_DR_DR_taco2hifigan-DR-0011.wav,2.75,0.78
noise-_input_output_GS_GS_taco2hifigan-GS-0013.wav,3.98,0.99
noise-_input_output_PE_PE_taco2hifigan-PE-0008.wav,3.07,0.83
noise-_input_output_DI_DI_taco2hifigan-DI-0026.wav,2.28,0.65
noise-_input_output_IR_IR_taco2hifigan-IR-0018.wav,2.78,0.81
noise-_input_output_GM_GM_taco2hifigan-GM-0028.wav,3.68,0.92
noise-_input_output_PE_PE_taco2hifigan-PE-0005.wav,2.96,0.88
noise-_input_output_GM_GM_taco2hifigan-GM-0003.wav,4.24,0.99
noise-_input_output_LN_LN_taco2hifigan-LN-0009.wav,3.79,0.98
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0015.wav,3.50,0.97
noise-_input_output_RC_RC_taco2hifigan-RC-0024.wav,3.73,0.98
noise-_input_output_DR_DR_taco2hifigan-DR-0023.wav,3.34,0.95
noise-_input_output_PE_PE_taco2hifigan-PE-0016.wav,3.10,0.82
noise-_input_output_DI_DI_taco2hifigan-DI-0009.wav,2.61,0.78
noise-_input_output_LN_LN_taco2hifigan-LN-0022.wav,2.48,0.68
noise-_input_output_LN_LN_taco2hifigan-LN-0020.wav,3.49,0.96
noise-_input_output_DR_DR_taco2hifigan-DR-0013.wav,3.28,0.96
noise-_input_output_FN_FN_taco2hifigan-FN-0019.wav,2.62,0.78
noise-_input_output_GS_GS_taco2hifigan-GS-0028.wav,3.03,0.86
noise-_input_output_LU_LU_taco2hifigan-LU-0026.wav,2.60,0.74
noise-_input_output_GS_GS_taco2hifigan-GS-0010.wav,4.16,0.99
noise-_input_output_RC_RC_taco2hifigan-RC-0026.wav,2.88,0.85
noise-_input_output_GM_GM_taco2hifigan-GM-0019.wav,4.39,0.99
noise-_input_output_DR_DR_taco2hifigan-DR-0003.wav,2.84,0.78
noise-_input_output_FN_FN_taco2hifigan-FN-0006.wav,3.35,0.96
noise-_input_output_MA_MA_taco2hifigan-MA-0005.wav,2.92,0.87
noise-_input_output_LI_LI_taco2hifigan-LI-0019.wav,2.82,0.87
noise-_input_output_LI_LI_taco2hifigan-LI-0004.wav,3.65,0.98
noise-_input_output_PE_PE_taco2hifigan-PE-0011.wav,3.06,0.86
noise-_input_output_RC_RC_taco2hifigan-RC-0021.wav,3.59,0.97
noise-_input_output_LI_LI_taco2hifigan-LI-0024.wav,2.41,0.67
noise-_input_output_LN_LN_taco2hifigan-LN-0027.wav,3.50,0.98
noise-_input_output_IR_IR_taco2hifigan-IR-0011.wav,2.61,0.80
noise-_input_output_RC_RC_taco2hifigan-RC-0004.wav,3.30,0.96
noise-_input_output_PE_PE_taco2hifigan-PE-0027.wav,4.20,0.99
noise-_input_output_IR_IR_taco2hifigan-IR-0013.wav,2.94,0.88
noise-_input_output_PE_PE_taco2hifigan-PE-0013.wav,3.32,0.88
noise-_input_output_LI_LI_taco2hifigan-LI-0006.wav,3.23,0.92
noise-_input_output_LI_LI_taco2hifigan-LI-0020.wav,2.74,0.83
noise-_input_output_LI_LI_taco2hifigan-LI-0001.wav,2.86,0.86
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0006.wav,3.70,0.97
noise-_input_output_DI_DI_taco2hifigan-DI-0001.wav,3.94,0.99
noise-_input_output_DR_DR_taco2hifigan-DR-0027.wav,3.80,0.98
noise-_input_output_LN_LN_taco2hifigan-LN-0014.wav,2.60,0.75
noise-_input_output_PE_PE_taco2hifigan-PE-0020.wav,3.62,0.98
noise-_input_output_LU_LU_taco2hifigan-LU-0027.wav,2.49,0.74
noise-_input_output_RC_RC_taco2hifigan-RC-0013.wav,3.52,0.98
noise-_input_output_MA_MA_taco2hifigan-MA-0012.wav,2.42,0.76
noise-_input_output_FN_FN_taco2hifigan-FN-0028.wav,3.05,0.91
noise-_input_output_DR_DR_taco2hifigan-DR-0024.wav,2.99,0.82
noise-_input_output_DR_DR_taco2hifigan-DR-0021.wav,3.14,0.89
noise-_input_output_LN_LN_taco2hifigan-LN-0006.wav,3.02,0.85
noise-_input_output_MA_MA_taco2hifigan-MA-0013.wav,2.65,0.82
noise-_input_output_LN_LN_taco2hifigan-LN-0010.wav,3.83,0.98
noise-_input_output_FN_FN_taco2hifigan-FN-0012.wav,2.96,0.90
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0008.wav,3.49,0.95
noise-_input_output_LU_LU_taco2hifigan-LU-0004.wav,2.77,0.80
noise-_input_output_LI_LI_taco2hifigan-LI-0009.wav,3.51,0.98
noise-_input_output_LN_LN_taco2hifigan-LN-0015.wav,3.73,0.97
noise-_input_output_LI_LI_taco2hifigan-LI-0010.wav,2.61,0.74
noise-_input_output_IR_IR_taco2hifigan-IR-0008.wav,3.76,0.98
noise-_input_output_GM_GM_taco2hifigan-GM-0008.wav,3.24,0.82
noise-_input_output_DI_DI_taco2hifigan-DI-0007.wav,2.27,0.63
noise-_input_output_FN_FN_taco2hifigan-FN-0009.wav,3.46,0.97
noise-_input_output_DR_DR_taco2hifigan-DR-0018.wav,3.92,0.98
noise-_input_output_DR_DR_taco2hifigan-DR-0016.wav,3.72,0.98
noise-_input_output_FN_FN_taco2hifigan-FN-0004.wav,2.59,0.78
noise-_input_output_FN_FN_taco2hifigan-FN-0010.wav,2.37,0.70
noise-_input_output_LU_LU_taco2hifigan-LU-0022.wav,3.24,0.94
noise-_input_output_LU_LU_taco2hifigan-LU-0018.wav,2.73,0.80
noise-_input_output_MA_MA_taco2hifigan-MA-0003.wav,2.04,0.53
noise-_input_output_GS_GS_taco2hifigan-GS-0026.wav,3.45,0.93
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0020.wav,2.88,0.89
noise-_input_output_DI_DI_taco2hifigan-DI-0017.wav,3.05,0.90
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0022.wav,2.85,0.85
noise-_input_output_LI_LI_taco2hifigan-LI-0017.wav,3.00,0.85
noise-_input_output_DI_DI_taco2hifigan-DI-0022.wav,2.91,0.83
noise-_input_output_LU_LU_taco2hifigan-LU-0025.wav,2.84,0.84
noise-_input_output_RC_RC_taco2hifigan-RC-0028.wav,3.86,0.98
noise-_input_output_IR_IR_taco2hifigan-IR-0012.wav,2.22,0.61
noise-_input_output_LI_LI_taco2hifigan-LI-0016.wav,3.06,0.88
noise-_input_output_PE_PE_taco2hifigan-PE-0019.wav,3.25,0.85
noise-_input_output_DI_DI_taco2hifigan-DI-0004.wav,3.21,0.87
noise-_input_output_RC_RC_taco2hifigan-RC-0019.wav,2.71,0.74
noise-_input_output_PE_PE_taco2hifigan-PE-0012.wav,3.96,0.99
noise-_input_output_LU_LU_taco2hifigan-LU-0020.wav,3.10,0.92
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0021.wav,3.77,0.98
noise-_input_output_RC_RC_taco2hifigan-RC-0006.wav,3.55,0.98
noise-_input_output_RC_RC_taco2hifigan-RC-0017.wav,3.62,0.98
noise-_input_output_GS_GS_taco2hifigan-GS-0015.wav,3.43,0.97
noise-_input_output_LU_LU_taco2hifigan-LU-0013.wav,3.37,0.96
noise-_input_output_LN_LN_taco2hifigan-LN-0021.wav,3.33,0.96
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0023.wav,2.47,0.71
noise-_input_output_LU_LU_taco2hifigan-LU-0028.wav,3.78,0.98
noise-_input_output_LI_LI_taco2hifigan-LI-0027.wav,4.07,0.99
noise-_input_output_LU_LU_taco2hifigan-LU-0006.wav,3.36,0.95
noise-_input_output_RC_RC_taco2hifigan-RC-0025.wav,3.68,0.98
noise-_input_output_LN_LN_taco2hifigan-LN-0004.wav,3.82,0.98
noise-_input_output_RC_RC_taco2hifigan-RC-0014.wav,2.73,0.84
noise-_input_output_GS_GS_taco2hifigan-GS-0016.wav,3.64,0.98
noise-_input_output_DR_DR_taco2hifigan-DR-0005.wav,3.07,0.88
noise-_input_output_GM_GM_taco2hifigan-GM-0002.wav,3.41,0.86
noise-_input_output_MA_MA_taco2hifigan-MA-0006.wav,2.14,0.60
noise-_input_output_LU_LU_taco2hifigan-LU-0029.wav,2.93,0.89
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0028.wav,3.02,0.90
noise-_input_output_RC_RC_taco2hifigan-RC-0016.wav,3.67,0.97
noise-_input_output_MA_MA_taco2hifigan-MA-0020.wav,2.44,0.70
noise-_input_output_LN_LN_taco2hifigan-LN-0017.wav,2.56,0.71
noise-_input_output_IR_IR_taco2hifigan-IR-0001.wav,2.69,0.80
noise-_input_output_DI_DI_taco2hifigan-DI-0003.wav,2.94,0.88
noise-_input_output_GS_GS_taco2hifigan-GS-0029.wav,3.39,0.96
noise-_input_output_FN_FN_taco2hifigan-FN-0016.wav,2.48,0.72
noise-_input_output_LN_LN_taco2hifigan-LN-0012.wav,3.56,0.96
noise-_input_output_GS_GS_taco2hifigan-GS-0025.wav,3.59,0.93
noise-_input_output_DI_DI_taco2hifigan-DI-0012.wav,2.80,0.82
noise-_input_output_IR_IR_taco2hifigan-IR-0016.wav,2.36,0.67
noise-_input_output_GS_GS_taco2hifigan-GS-0024.wav,3.58,0.98
noise-_input_output_MA_MA_taco2hifigan-MA-0026.wav,2.10,0.56
noise-_input_output_LN_LN_taco2hifigan-LN-0029.wav,3.56,0.98
noise-_input_output_DR_DR_taco2hifigan-DR-0029.wav,3.29,0.92
noise-_input_output_MA_MA_taco2hifigan-MA-0011.wav,2.32,0.67
noise-_input_output_PE_PE_taco2hifigan-PE-0024.wav,3.98,0.98
noise-_input_output_GM_GM_taco2hifigan-GM-0005.wav,4.13,0.99
noise-_input_output_IR_IR_taco2hifigan-IR-0027.wav,2.96,0.88
noise-_input_output_FN_FN_taco2hifigan-FN-0020.wav,2.81,0.86
noise-_input_output_LU_LU_taco2hifigan-LU-0015.wav,2.63,0.78
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0007.wav,3.56,0.98
noise-_input_output_GS_GS_taco2hifigan-GS-0012.wav,3.76,0.98
noise-_input_output_LU_LU_taco2hifigan-LU-0024.wav,3.19,0.89
noise-_input_output_PE_PE_taco2hifigan-PE-0006.wav,4.28,0.99
noise-_input_output_RC_RC_taco2hifigan-RC-0023.wav,3.70,0.98
noise-_input_output_DR_DR_taco2hifigan-DR-0025.wav,2.97,0.80
noise-_input_output_RC_RC_taco2hifigan-RC-0002.wav,3.57,0.98
noise-_input_output_RC_RC_taco2hifigan-RC-0010.wav,3.44,0.97
noise-_input_output_DR_DR_taco2hifigan-DR-0020.wav,3.84,0.98
noise-_input_output_LN_LN_taco2hifigan-LN-0002.wav,2.61,0.73
noise-_input_output_DR_DR_taco2hifigan-DR-0009.wav,4.25,0.99
noise-_input_output_MA_MA_taco2hifigan-MA-0018.wav,3.45,0.94
noise-_input_output_LU_LU_taco2hifigan-LU-0007.wav,2.69,0.77
noise-_input_output_PE_PE_taco2hifigan-PE-0018.wav,3.20,0.79
noise-_input_output_LN_LN_taco2hifigan-LN-0028.wav,3.55,0.97
noise-_input_output_GM_GM_taco2hifigan-GM-0010.wav,4.10,0.99
noise-_input_output_DR_DR_taco2hifigan-DR-0004.wav,3.71,0.97
noise-_input_output_LN_LN_taco2hifigan-LN-0019.wav,2.29,0.63
noise-_input_output_GM_GM_taco2hifigan-GM-0016.wav,3.60,0.94
noise-_input_output_GS_GS_taco2hifigan-GS-0020.wav,4.22,0.99
noise-_input_output_GM_GM_taco2hifigan-GM-0023.wav,3.50,0.88
noise-_input_output_IR_IR_taco2hifigan-IR-0007.wav,2.27,0.62
noise-_input_output_GS_GS_taco2hifigan-GS-0007.wav,2.92,0.83
noise-_input_output_LN_LN_taco2hifigan-LN-0007.wav,3.01,0.90
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0011.wav,2.86,0.83
noise-_input_output_FN_FN_taco2hifigan-FN-0007.wav,3.41,0.97
noise-_input_output_IR_IR_taco2hifigan-IR-0005.wav,3.10,0.93
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0026.wav,3.19,0.94
noise-_input_output_FN_FN_taco2hifigan-FN-0017.wav,2.90,0.87
noise-_input_output_GM_GM_taco2hifigan-GM-0015.wav,3.90,0.99
noise-_input_output_LI_LI_taco2hifigan-LI-0015.wav,3.07,0.88
noise-_input_output_FN_FN_taco2hifigan-FN-0001.wav,3.27,0.95
noise-_input_output_LI_LI_taco2hifigan-LI-0003.wav,2.58,0.74
noise-_input_output_LI_LI_taco2hifigan-LI-0011.wav,2.95,0.85
noise-_input_output_GM_GM_taco2hifigan-GM-0022.wav,3.27,0.88
noise-_input_output_MA_MA_taco2hifigan-MA-0002.wav,2.53,0.74
noise-_input_output_GS_GS_taco2hifigan-GS-0011.wav,3.17,0.89
noise-_input_output_LI_LI_taco2hifigan-LI-0022.wav,3.02,0.86
noise-_input_output_IR_IR_taco2hifigan-IR-0021.wav,2.76,0.80
noise-_input_output_GS_GS_taco2hifigan-GS-0003.wav,3.66,0.98
noise-_input_output_RC_RC_taco2hifigan-RC-0001.wav,3.40,0.96
noise-_input_output_GM_GM_taco2hifigan-GM-0018.wav,3.82,0.92
noise-_input_output_FN_FN_taco2hifigan-FN-0027.wav,3.45,0.97
noise-_input_output_LU_LU_taco2hifigan-LU-0014.wav,2.68,0.77
noise-_input_output_LU_LU_taco2hifigan-LU-0012.wav,3.25,0.95
noise-_input_output_IR_IR_taco2hifigan-IR-0019.wav,2.67,0.76
noise-_input_output_LN_LN_taco2hifigan-LN-0024.wav,2.89,0.87
noise-_input_output_DR_DR_taco2hifigan-DR-0022.wav,2.75,0.79
noise-_input_output_RC_RC_taco2hifigan-RC-0009.wav,3.61,0.98
noise-_input_output_LU_LU_taco2hifigan-LU-0003.wav,2.75,0.85
noise-_input_output_GS_GS_taco2hifigan-GS-0005.wav,3.12,0.86
noise-_input_output_RC_RC_taco2hifigan-RC-0007.wav,3.51,0.97
noise-_input_output_GS_GS_taco2hifigan-GS-0017.wav,3.92,0.98
noise-_input_output_DI_DI_taco2hifigan-DI-0006.wav,3.07,0.88
noise-_input_output_LN_LN_taco2hifigan-LN-0018.wav,2.86,0.84
noise-_input_output_GS_GS_taco2hifigan-GS-0018.wav,3.50,0.97
noise-_input_output_LI_LI_taco2hifigan-LI-0025.wav,2.79,0.79
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0009.wav,3.34,0.96
noise-_input_output_DI_DI_taco2hifigan-DI-0019.wav,3.65,0.98
noise-_input_output_RC_RC_taco2hifigan-RC-0008.wav,3.46,0.97
noise-_input_output_GS_GS_taco2hifigan-GS-0019.wav,3.48,0.95
noise-_input_output_IR_IR_taco2hifigan-IR-0022.wav,3.00,0.89
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0005.wav,2.43,0.71
noise-_input_output_IR_IR_taco2hifigan-IR-0029.wav,2.59,0.76
noise-_input_output_MA_MA_taco2hifigan-MA-0010.wav,2.90,0.85
noise-_input_output_GM_GM_taco2hifigan-GM-0011.wav,3.70,0.93
noise-_input_output_MA_MA_taco2hifigan-MA-0004.wav,2.94,0.86
noise-_input_output_GS_GS_taco2hifigan-GS-0008.wav,2.79,0.85
noise-_input_output_GS_GS_taco2hifigan-GS-0001.wav,2.94,0.86
noise-_input_output_IR_IR_taco2hifigan-IR-0010.wav,3.42,0.97
noise-_input_output_LI_LI_taco2hifigan-LI-0007.wav,3.18,0.88
noise-_input_output_RC_RC_taco2hifigan-RC-0018.wav,2.61,0.80
noise-_input_output_FN_FN_taco2hifigan-FN-0024.wav,2.53,0.74
noise-_input_output_LI_LI_taco2hifigan-LI-0002.wav,2.96,0.87
noise-_input_output_GS_GS_taco2hifigan-GS-0006.wav,3.42,0.93
noise-_input_output_MA_MA_taco2hifigan-MA-0014.wav,2.64,0.80
noise-_input_output_MA_MA_taco2hifigan-MA-0009.wav,2.18,0.59
noise-_input_output_GM_GM_taco2hifigan-GM-0001.wav,4.39,0.99
noise-_input_output_GS_GS_taco2hifigan-GS-0002.wav,3.96,0.99
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0004.wav,3.32,0.96
noise-_input_output_LI_LI_taco2hifigan-LI-0013.wav,3.26,0.95
noise-_input_output_DR_DR_taco2hifigan-DR-0017.wav,3.94,0.98
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0019.wav,2.48,0.71
noise-_input_output_PE_PE_taco2hifigan-PE-0007.wav,3.96,0.98
noise-_input_output_FN_FN_taco2hifigan-FN-0008.wav,3.12,0.93
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0002.wav,3.40,0.95
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0001.wav,3.59,0.98
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0018.wav,2.90,0.88
noise-_input_output_LI_LI_taco2hifigan-LI-0005.wav,3.17,0.89
noise-_input_output_DI_DI_taco2hifigan-DI-0021.wav,3.83,0.98
noise-_input_output_MA_MA_taco2hifigan-MA-0019.wav,2.31,0.68
noise-_input_output_IR_IR_taco2hifigan-IR-0003.wav,3.15,0.92
noise-_input_output_RC_RC_taco2hifigan-RC-0015.wav,3.04,0.89
noise-_input_output_LI_LI_taco2hifigan-LI-0028.wav,2.96,0.86
noise-_input_output_LU_LU_taco2hifigan-LU-0005.wav,2.87,0.87
noise-_input_output_MA_MA_taco2hifigan-MA-0024.wav,2.24,0.67
noise-_input_output_DI_DI_taco2hifigan-DI-0013.wav,2.33,0.67
noise-_input_output_DI_DI_taco2hifigan-DI-0027.wav,3.53,0.97
noise-_input_output_LU_LU_taco2hifigan-LU-0019.wav,2.32,0.65
noise-_input_output_FN_FN_taco2hifigan-FN-0022.wav,2.39,0.67
noise-_input_output_FN_FN_taco2hifigan-FN-0026.wav,3.74,0.98
noise-_input_output_IR_IR_taco2hifigan-IR-0028.wav,2.90,0.85
noise-_input_output_BZ_BZ_taco2hifigan-BZ-0024.wav,3.70,0.97
noise-_input_output_LU_LU_taco2hifigan-LU-0001.wav,3.59,0.98
noise-_input_output_GS_GS_taco2hifigan-GS-0014.wav,3.80,0.98
